Name,,dashed_name,Org,Pos,Current Level,Top 100,Org Rk,Trend,FV,ETA,Risk,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Video,playerId
Adley Rutschman,Adley Rutschman,Adley-Rutschman,BAL,C,A,0,1,,60,2021,,21.9972222,"6' 2""",216,S,R,2019,Draft,BAL,8100000,Oregon State,riXzQCIbfPw,sa3011643
Grayson Rodriguez,Grayson Rodriguez,Grayson-Rodriguez,BAL,RHP,A,0,2,,55,2023,,20.2194444,"6' 5""",230,L,R,2018,Draft,BAL,4300000,Central Heights HS (TX),XVnKhGydp9Y,sa3008130
DL Hall,DL Hall,DL-Hall,BAL,LHP,A+,0,3,,50,2022,,21.3777777,"6' 0""",185,L,L,2017,Draft,BAL,3000000,Valdosta HS (GA),uN2TRUVwjs4,sa3005282
Ryan Mountcastle,Ryan Mountcastle,Ryan-Mountcastle,BAL,LF,AAA,0,4,,50,2020,,22.9638888,"6' 3""",185,R,R,2015,Draft,BAL,1300000,Hagerty HS (FL),Mf-E2t1dIxo,sa874734
Matt Manning,Matt Manning,Matt-Manning,DET,RHP,AA,0,1,,60,2021,,22.0194444,"6' 6""",215,R,R,2016,Draft,DET,3505800,Sheldon HS (CA),k-sipbEctAU,sa917924
Casey Mize,Casey Mize,Casey-Mize,DET,RHP,AA,0,2,,60,2020,,22.7611111,"6' 3""",208,R,R,2018,Draft,DET,7500000,Auburn,KTLpXoKizJU,sa3008444
Royce Lewis,Royce Lewis,Royce-Lewis,MIN,CF,AA,0,1,,60,2022,,20.6666666,"6' 2""",200,R,R,2017,Draft,MIN,6725000,JSerra HS (CA),IRGoLxDpn0U,sa3004259
Joey Bart,Joey Bart,Joey-Bart,SFG,C,AA,0,1,,60,2020,,22.9,"6' 3""",235,R,R,2018,Draft,SFG,7025000,Georgia Tech,Cozg_YSvag0,sa3007786
Carter Kieboom,Carter Kieboom,Carter-Kieboom,WSN,SS,MLB,0,1,,60,2020,,22.4222222,"6' 2""",190,R,R,2016,Draft,WSN,2000000,Walton HS (GA),_-90cLZAZz4,19958
Forrest Whitley,Forrest Whitley,Forrest-Whitley,HOU,RHP,AA,0,1,,60,2020,,22.3888888,"6' 7""",225,R,R,2016,Draft,HOU,3148000,Alamo Heights HS (TX),5krfMUxyV_M,sa917930
Cristian Pache,Cristian Pache,Cristian-Pache,ATL,CF,AAA,0,1,,60,2021,,21.2,"6' 2""",185,R,R,2015,J2,ATL,1400000,Dominican Republic,ALCsGpZ1oiA,sa916722
Ronny Mauricio,Ronny Mauricio,Ronny-Mauricio,NYM,SS,A,0,1,,55,2023,,18.8361111,"6' 3""",166,S,R,2017,J2,NYM,2100000,Dominican Republic,NvOA8y_cZGI,sa3006887
Nolan Gorman,Nolan Gorman,Nolan-Gorman,STL,3B,A+,0,1,,55,2021,,19.7361111,"6' 1""",215,L,R,2018,Draft,STL,3231700,O'Connor HS (AZ),_2qk0vq7IEA,sa3007017
Dylan Carlson,Dylan Carlson,Dylan-Carlson,STL,LF,AAA,0,2,,55,2020,,21.2833333,"6' 3""",210,S,L,2016,Draft,STL,1350000,Elk Grove HS (CA),5Qo_OiBtqnA,sa917940
Brendan Rodgers,Brendan Rodgers,Brendan-Rodgers,COL,2B,MLB,0,1,,55,2020,,23.4888888,"6' 0""",180,R,R,2015,Draft,COL,5500000,Lake Mary HS (FL),8R3NqST3CPs,17907
Marco Luciano,Marco Luciano,Marco-Luciano,SFG,SS,A-,0,2,,55,2023,,18.1,"6' 2""",180,R,R,2018,J2,SFG,2600000,Dominican Republic,UrZDHmjnjrY,sa3010022
Jazz Chisholm,Jazz Chisholm,Jazz-Chisholm,MIA,SS,AA,0,1,,55,2022,,22.0111111,"5' 11""",165,L,R,2015,J2,ARI,200000,Bahamas,ir2kVOIT4mE,sa919327
Kristian Robinson,Kristian Robinson,Kristian-Robinson,ARI,CF,A,0,1,,55,2022,,19.15,"6' 3""",210,R,R,2017,J2,ARI,2550000,Bahamas,U24cWc3kkog,sa3006884
Drew Waters,Drew Waters,Drew-Waters,ATL,CF,AAA,0,2,,55,2021,,21.1,"6' 2""",183,S,R,2017,Draft,ATL,1500000,Etowah HS (GA),lNnHDBf17DI,sa3004378
Ian Anderson,Ian Anderson,Ian-Anderson,ATL,RHP,AAA,0,3,,55,2020,,21.7,"6' 3""",170,R,R,2016,Draft,ATL,4000000,Shenendowa HS (NY),tgygzB4auuw,sa917921
Andres Gimenez,Andres Gimenez,Andres-Gimenez,NYM,SS,AA,0,2,,50,2020,,21.4194444,"5' 11""",165,L,R,2015,J2,NYM,1200000,Venezuela,0daljrqAYUs,sa917114
Mark Vientos,Mark Vientos,Mark-Vientos,NYM,3B,A,0,3,,50,2022,,20.15,"6' 4""",185,R,R,2017,Draft,NYM,1500000,American Heritage HS (FL),ax1yE3rIWCs,sa3004720
Brusdar Graterol,Brusdar Graterol,Brusdar-Graterol,BOS,RHP,MLB,0,1,,50,2020,,21.4416666,"6' 1""",265,R,R,2014,J2,MIN,150000,Venezuela,5VxhHnSA2hg,20367
Triston Casas,Triston Casas,Triston-Casas,BOS,1B,A+,0,2,,50,2023,,20.0555555,"6' 4""",238,L,R,2018,Draft,BOS,2552800,American Heritage HS (FL),900T_ozI7iY,sa3007634
